Name,Price
Dell Vostro 3520 I3-1215U (6 cores) 8GB RAM/512GB SSD/15.6 Display,"Rs. 55,000"
Lenovo IdeaPad 1 15AMN7 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | AMD Radeon 610M Graphics Card | 15.6-inch FHD (1920 x 1080) IPS Display | 1 Year Warranty),"Rs. 59,000"
"Acer Aspire 3 Ryzen5 7000Series 8GB 512GB 15.6""inch FHD display","Rs. 57,000"
Lenovo Thinbook 14 G-4/i5-1235U Processor/16GB RAM/512GB SSD/14 inch/ FHD,"Rs. 78,650"
Asus Vivobook 14 | Core i3-12th Gen | 8 GB RAM | 256 GB SSD | 14″ FHD Display | Magic Numpad,"Rs. 53,500"
"ASUS 14"" FHD Laptop, Intel Celeron N4500, 4GB RAM, 64+256 GB SSD Storage, Intel Iris Xe Graphics, Media Card Reader, Quiet Blue","Rs. 33,000"
"ASUS E410M recommends Windows 11 Pro for business, Intel® Celeron® N4020 Processor, Intel® UHD Graphics 600","Rs. 41,999"
"HP Pavilion Laptop 15-eh1066AU 49N15PA 8 GB RAM (2 x 4 GB), 512 GB SSD, 15.6""","Rs. 85,000"
Lenovo Ideapad 3 | Core i3- 1115G4 | 8GB RAM | 256GB SSD | 14” FHD,"Rs. 53,999"
Dell Vostro 3530 (Intel Core i5 1335U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics Card | 15.6-inch FHD (1920 x 1080) IPS Display | 1 Year Warranty),"Rs. 76,500"
Dell Vostro 3530 (Intel Core i5 1335U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics Card | 15.6-inch FHD (1920 x 1080) IPS Display | 1 Year Warranty),"Rs. 80,000"
"Acer Aspire 5 A515-58P (13th Generation Intel Core i5 1335U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD (1920 x 1080 Display | 1 Year Warranty)","Rs. 71,499"
"DELL VOSTRO 14"" 3430 | 13th gen I3-1305U | 8GB | 512 SSD | 1yrs warranty","Rs. 68,500"
"Acer Aspire 3 A315 (AMD Ryzen 5 - 7520U Processor | 8GB RAM | 512GB SSD | AMD Radeon Graphics | 15.6"" FHD Display)","Rs. 60,000"
"Acer Swift Go 14 OLED Intel Core i5 13500H Processor | 16GB RAM | 512GB Gen4 SSD | 14-inch 2.8K WQXGA+, 90Hz OLED Display | Intel Iris Xe Graphics Card | Backlit Keyboard | Fingerprint Scanner","Rs. 103,000"
